MD-MVM Id,Nationellt övervakningsstations-ID,Övervakningsstation,Stationskoordinat N/X,Stationskoordinat E/Y,Län,Kommun,MS_CD C3,ProvId,Provdatum,Provtagningsår,Provtagningsmånad,Provtagningsdag,SeasonType,Season,Season priority,Season cleaning,Max provdjup (m),TOC (mg/l C),DOC (mg/l C),Tot-N_ps (µg/l N),Tot-N_TNb (µg/l N),Abs_F 254 (/5cm),Abs_F 365 (/5cm),Abs_F 420 (/5cm),Abs_F 436 (/m),Abs_OF 420 (/5cm),Turb_FNU (FNU),Kfyll (µg/l),pH,Kond_25 (mS/m),Alk/Acid (mekv/l),Ca (mekv/l),Mg (mekv/l),Na (mekv/l),K (mekv/l),SO4 (mekv/l),Cl (mekv/l),F (mekv/l),NH4-N (µg/l N),NO2+NO3-N (µg/l N),PO4-P (µg/l P),Tot-P (µg/l P),Si (mg/l),Fe (µg/l),Al (µg/l),Al_s (µg/l),Syrgashalt (mg/l O2),Siktdjup (m),Siktdjup med kikare (m),Siktdjup utan kikare (m),Vattentemperatur (°C)
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22480,2001-03-28,2001,3,28,1,1,2,0,0.5,5.3,,409,,,,0.053,,0.065,,0.9,6.22,3.58,0.078,0.145,0.069,0.084,0.015,0.131,0.042,0.0089,62,146,1,8,2.27,40,,85,,5.5,,,0.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22481,2001-05-21,2001,5,21,1,2,2,0,0.5,4.1,,360,,,,0.051,,0.054,,1.5,6.3,2.94,0.061,0.129,0.062,0.065,0.011,0.111,0.031,0.0079,9,95,1,5,1.62,43,,80,,7.6,,,10.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22482,2001-08-22,2001,8,22,1,3,1,0,0.5,8.5,,195,,,,0.029,,0.036,,2.1,6.82,2.95,0.075,0.133,0.065,0.066,0.011,0.116,0.03,0.0089,8,2,1,5,1.73,19,,45,,6,,,18.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22483,2001-10-15,2001,10,15,1,4,1,0,0.5,4.3,,383,,,,0.035,,0.038,,2.4,6.37,3.01,0.075,0.129,0.063,0.064,0.011,0.108,0.029,0.0079,9,21,2,8,1.72,41,,50,,7,,,10.3
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22484,2002-02-26,2002,2,26,1,1,1,0,0.5,4.8,,385,,,,0.035,,0.049,,1,6.42,3.33,0.075,0.135,0.064,0.075,0.014,0.118,0.038,0.0079,40,142,1,8,1.89,36,,55,,,,,1.5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22485,2002-05-15,2002,5,15,1,2,2,0,0.5,4,,377,,,,0.031,,0.046,,1.1,6.52,2.92,0.079,0.125,0.061,0.066,0.013,0.111,0.029,0.0079,13,55,3,14,2,52,,70,,5.8,,,14.7
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22486,2002-08-14,2002,8,14,1,3,1,0,0.5,4.7,,200,,,,0.029,,0.033,,2.6,6.79,2.93,0.084,0.127,0.055,0.064,0.01,0.105,0.027,0.0084,10,8,2,3,1.87,29,,45,,,,,22.3
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22487,2002-10-21,2002,10,21,1,4,1,0,0.5,3.9,,219,,,,0.038,,0.045,,1,6.46,2.85,0.09,0.133,0.057,0.066,0.011,0.107,0.027,0.0089,15,22,2,5,1.62,54,,45,,7.6,,,6.8
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22488,2003-02-25,2003,2,25,1,1,1,0,0.5,5,,310,,,,0.028,,0.029,,0.5,6.42,3.54,0.109,0.159,0.069,0.089,0.016,0.126,0.038,0.0095,66,53,5,9,2.1,24,,35,,5.7,,,1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22489,2003-05-13,2003,5,13,1,2,2,0,0.5,3.6,,248,,,,0.026,,0.029,,1.2,6.67,2.81,0.087,0.137,0.059,0.068,0.011,0.104,0.028,0.0068,14,45,2,4,1.21,34,,41,,9,,,10.3
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22490,2003-08-14,2003,8,14,1,3,1,0,0.5,4.2,,199,,,,0.024,,0.035,,1.8,7.04,2.84,0.095,0.134,0.058,0.069,0.011,0.102,0.028,0.0084,3,1,1,4,1.01,34,,31,,7,,,20.1
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22491,2003-10-09,2003,10,9,1,4,1,0,0.5,4.2,,344,,,,0.024,,0.03,,1.7,6.68,2.95,0.098,0.14,0.059,0.07,0.012,0.103,0.027,0.0084,9,11,2,3,0.7,30,,34,,7.5,,,9.6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22492,2004-02-18,2004,2,18,1,1,1,0,0.5,4.8,,425,,,,0.028,,0.038,,0.2,6.56,3.51,0.108,0.153,0.067,0.086,0.016,0.119,0.039,0.0095,40,56,4,5,1.72,35,,,,6.7,,,1.3
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22493,2004-04-27,2004,4,27,1,2,1,0,0.5,3.5,,230,,,,0.034,,0.036,,1.5,6.35,2.85,0.114,0.133,0.056,0.078,0.011,0.103,0.033,0.0084,10,39,2,4,2.27,47,,,,9,,,6
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22494,2004-08-09,2004,8,9,1,3,1,0,0.5,5,,269,,,,0.008,,0.019,,1,6.66,2.84,0.097,0.132,0.058,0.067,0.011,0.096,0.028,0.0084,17,2,3,4,0.44,23,,,,8.2,,,23
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22495,2004-10-05,2004,10,5,1,4,1,0,0.5,3.4,,283,,,,0.026,,0.032,,1.5,6.58,2.91,0.101,0.136,0.058,0.072,0.012,0.1,0.027,0.0084,10,6,2,4,0.87,29,,,,7.7,,,11
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22496,2005-02-21,2005,2,21,1,1,1,0,0.5,5,,294,,,,0.028,,0.035,,1.9,6.53,3.56,0.11,0.155,0.069,0.102,0.018,0.117,0.044,0.0089,44,46,2,5,1.72,35,,,,6.6,,,1.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22497,2005-04-20,2005,4,20,1,2,1,0,0.5,3.4,,221,,,,0.02,,0.029,,1.2,6.35,2.86,0.098,0.135,0.057,0.067,0.01,0.096,0.029,0.0084,12,16,3,5,0.8,31,,,,9,,,5
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22498,2005-08-15,2005,8,15,1,3,1,0,0.5,3.5,,191,,,,0.011,,0.022,,1.2,6.94,2.77,0.098,0.135,0.057,0.067,0.011,0.094,0.026,0.0079,46,8,5,5,2.13,24,,,,7,,,18.2
54,262403,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,22499,2005-10-12,2005,10,12,1,4,1,0,0.5,5,,295,,,,0.014,,0.017,,1.9,6.86,2.86,0.103,0.133,0.056,0.069,0.011,0.095,0.027,0.0084,6,3,3,5,1.12,17,,,,8.8,,,10.4
