MD-MVM Id,SMHI-ID,SUBID,AROID
54,672467-148031,11693,672563-147882
58,672729-138082,11747,672747-138086
60,708619-162132,23909,708667-162049
61,704955-159090,22098,704830-159143
62,665175-157559,9679,665164-157409
63,623624-141149,64356,623214-462100
64,751252-175433,36314,751198-175487
65,698918-158665,19855,698956-158515
66,633344-130068,1732,633358-129920
67,758677-161050,37339,758883-161007
68,624421-147234,585,624337-147321
69,622803-144609,387,622780-144652
71,632231-136476,64501,632040-414494
73,628606-133205,1086,628702-133274
74,704082-148125,21837,704115-148078
76,652707-159032,5387,652759-158988
80,659105-133982,7547,659070-134070
81,656206-159170,63620,655913-636163
82,655587-158869,40829,655595-158813
83,632515-146675,1579,632504-146668
84,633025-142267,1655,632907-142261
86,631360-146750,1431,631329-146822
88,658086-130264,7192,658259-130397
89,664197-149337,9490,664386-149404
90,663532-148571,9345,663678-148520
92,660804-142742,64904,660576-472544
95,639047-149701,63925,638964-545202
96,642489-151724,3458,642531-151655
97,733110-182955,32565,733182-182906
99,629026-147562,1141,629089-147653
100,655209-126937,64895,654772-314841
101,728095-175926,61619,728458-794918
103,728744-162653,31237,728848-162534
104,716717-158596,27405,716809-158555
105,644987-152393,3807,644950-152430
106,741340-153576,34568,741365-153513
107,711365-171748,25308,711359-171655
108,652840-151589,5392,652768-151442
112,708512-152086,23797,708440-151927
114,706083-132287,62819,705741-361163
115,686849-145214,15931,686855-145087
116,695220-143383,18528,695271-143533
117,655863-129783,6301,655761-129874
119,660688-164478,8701,660797-164411
121,638725-146677,2738,638710-146700
122,736804-160569,33542,736815-160455
123,744629-167999,35099,744511-168240
124,690617-134197,17096,690802-134313
125,742829-183168,34837,742798-183198
126,690345-149315,16950,690339-149390
127,709218-169710,24262,709271-169683
129,673534-153381,41265,673533-153397
131,651558-143620,40739,651597-143552
132,683673-154083,14805,683685-154143
133,677506-156174,13099,677481-156135
134,691365-156127,17321,691409-156005
135,713404-172465,41669,713597-172337
136,758208-161749,37240,758157-161686
137,731799-151196,32071,731758-150817
138,615375-137087,48,615459-136909
139,713131-144608,62515,712844-482440
140,660749-161885,8687,660768-161922
142,652177-159038,5221,652316-159090
144,642555-168553,3404,642230-168526
145,615365-134524,64443,614962-396270
146,617797-135339,40274,617096-402423
147,650398-139136,4645,650414-139156
149,712246-170866,25679,712245-170764
151,642008-168013,3315,641748-168025
154,706672-167201,23011,706722-167169
155,728271-157578,31358,729257-156046
156,642122-148744,3435,642402-148598
157,742442-153530,61662,742222-570777
160,698735-139620,19748,698669-139508
161,698561-139682,19689,698502-139686
162,718150-168580,27948,718205-168403
163,730091-165102,31575,730010-165197
