,SUBID,AROID,Sj�-id,Medeldjup,Maxdjup,Omsättningstid,wrt
0,65543,708259-377482,708573-133821,5.51,,0.428,2.336448598130841
1,65552,704064-359382,704522-131646,5.88,,0.725,1.3793103448275863
2,65555,723924-475441,724359-143784,5.53,,0.273,3.663003663003663
3,65554,703072-356475,703331-131386,5.78,,0.871,1.148105625717566
4,65557,723795-473441,724156-143590,5.39,,0.225,4.444444444444445
5,65560,724806-483631,725134-144587,5.41,,0.272,3.676470588235294
6,65565,725996-480981,725991-144581,5.86,,0.758,1.3192612137203166
7,65570,725292-510799,725600-147330,5.3,,0.853,1.1723329425556859
8,65572,725343-519550,725541-148223,5.99,,0.00726,137.7410468319559
9,65575,725205-478946,725536-144434,6.09,,0.162,6.172839506172839
10,65579,724246-477167,724519-143884,5.64,,0.1,10.0
11,65583,725477-487591,725736-144827,6.49,,0.052,19.23076923076923
12,47,615456-134197,615464-134175,1.82,3.0,0.492,2.032520325203252
13,48,615459-136909,615375-137087,5.32,9.0,2.86,0.3496503496503497
14,65588,725404-509634,725614-146210,6.29,,1.07,0.9345794392523364
15,65590,727636-483636,727964-144597,5.41,,0.443,2.2573363431151243
16,65595,729663-482505,730027-144302,5.77,,0.216,4.62962962962963
17,65597,732349-482607,732615-144596,5.23,,0.518,1.9305019305019304
18,63,615793-134233,615767-134254,1.61,2.5,1.05,0.9523809523809523
19,64,615806-134790,615847-134788,1.8,1.5,0.259,3.861003861003861
20,65602,729840-485487,730034-144714,5.59,,0.831,1.203369434416366
21,69,615862-136850,615899-136823,3.05,5.5,0.978,1.0224948875255624
22,65606,732573-482690,732842-144611,5.29,,0.895,1.1173184357541899
23,65611,728189-478381,728515-144135,5.33,,0.835,1.1976047904191618
24,74,616068-136348,616415-136415,4.48,8.0,0.466,2.1459227467811157
25,75,616101-133898,616141-133891,2.07,3.5,0.767,1.303780964797914
26,65612,730782-481504,731157-144447,5.61,,0.0189,52.91005291005291
