MD-MVM Id,Nationellt övervakningsstations-ID,SMHI-ID,Övervakningsstation,Stationskoordinat N/X,Stationskoordinat E/Y,Län,Kommun,MS_CD C3,Stationsnamn,EU id,Stationskoordinat N/S,Stationskoordinat Ö/V,SWB_TYPES_LW,Mean(MEDDJ),Mean(MAXDJ),Area Code,Lake Area km2
54,262403,672467-148031,Spjutsjön,6722638,524356,Dalarnas län,Falun,WA42559716,Spjutsjön,SE672467-148031,6722638,524356,2MLK,5.9,21.3,D,0.40428387
55,258179,663365-161779,Edasjön,6633334,662893,Uppsala län,Knivsta,WA97078589,Edasjön,SE663365-161779,6633334,662893,,3,4.8,D,0.18674947
56,262727,665654-149206,Mäsen,6654684,536934,Dalarnas län,Smedjebacken,WA42018902,Mäsen,SE665654-149206,6654684,536934,,,,D,0.41994022
57,262732,667151-149602,Hällsjön,6669695,540709,Dalarnas län,Smedjebacken,WA23078743,Hällsjön,SE667151-149602,6669695,540709,,,,D,0.20961795
58,262254,672729-138082,Gipsjön,6724037,424887,Dalarnas län,Malung-Sälen,WA67930382,Gipsjön,SE672729-138082,6724037,424887,,4.9,14,D,0.74512419
59,262994,664410-136192,Översjön,6640666,407015,Värmlands län,Sunne,NA,Översjön,SE664410-136192,6640666,407015,,,25,D,0.37005551
60,257589,708619-162132,Remmarsjön,7085765,660807,Västernorrlands län,Örnsköldsvik,WA79262932,Remmarsjön,SE708619-162132,7085765,660807,3MLB,5.15,14.05,C,1.29229945
61,262774,704955-159090,Hällvattnet,7048754,630861,Västernorrlands län,Örnsköldsvik,WA38350845,Hällvattnet,SE704955-159090,7048754,630861,3MLB,13.1,47,C,6.57858452
62,262836,665175-157559,Siggeforasjön,6650914,620487,Uppsala län,Uppsala,WA74960253,Siggeforasjön,SE665175-157559,6650914,620487,,4.35,10.95,D,0.70191844
63,260615,623624-141149,Bäen,6233634,461425,Skåne län,Kristianstad,WA93163816,Bäen,SE623624-141149,6233634,461425,,3.4,8,D,0.52984647
64,260464,751252-175433,Valkeajärvi,7513674,788304,Norrbottens län,Kiruna,WA51513798,Valkeajärvi,SE751252-175433,7513674,788304,3MLK,,,D,0.61863798
65,262586,698918-158665,Valasjön,6988354,627371,Västernorrlands län,Kramfors,WA57901934,Valasjön,SE698918-158665,6988354,627371,2MLB,8.4,25.5,C,1.98371092
66,261347,633344-130068,Skärsjön,6329472,349541,Hallands län,Varberg,WA12885229,Skärsjön,SE633344-130068,6329472,349541,1MLK,9.6,22,C,2.97543
67,261468,758677-161050,Latnjajaure,7586022,643552,Norrbottens län,Kiruna,WA49065685,Latnjajaure,SE758677-161050,7586022,643552,4DLK,,,D,0.7400611
68,253778,624421-147234,Sännen,6242312,522150,Blekinge län,Ronneby,WA21863308,Sännen,SE624421-147234,6242312,522150,1MLK,3.6,12.5,C,0.99098061
69,254656,622803-144609,Svinarydsjön,6225833,496102,Blekinge län,Karlshamn,WA43427014,Svinarydsjön,SE622803-144609,6225833,496102,1GLB,,,D,0.18444077
70,255120,624038-143063,Örsjön,6237996,480506,Blekinge län,Olofström,WA49933782,Örsjön,SE624038-143063,6237996,480506,,3.2,9.2,D,0.19191882
71,255381,632231-136476,Harasjön,6319106,413711,Hallands län,Hylte,WA20819678,Harasjön,SE632231-136476,6319106,413711,,2.4,9.4,D,0.57046598
72,260739,630558-134327,Svartesjön,6302132,392431,Hallands län,Hylte,NA,Svartesjön,SE630558-134327,6302132,392431,,,,E,0.026994
73,261328,628606-133205,Stora Skärsjön,6282493,381448,Hallands län,Halmstad,WA43585030,St Skärsjön,SE628606-133205,6282493,381448,1MLK,3.933333333,11.4,D,0.33018934
74,262423,704082-148125,Fyrsjön,7038648,521368,Jämtlands län,Strömsund,WA80286207,Fyrsjön,SE704082-148125,7038648,521368,3MLB,,,B,13.1694424
75,260942,633989-140731,Älgarydssjön,6337178,456028,Jönköpings län,Värnamo,WA35245623,Älgarydssjön,SE633989-140731,6337178,456028,,1.4,6.6,D,0.31904769
76,261350,652707-159032,Björken,6526457,636722,Södermanlands län,Trosa,WA31838586,Björken,SE652707-159032,6526457,636722,1MLB,12.5,23.2,C,1.34619607
77,260862,655275-153234,Älgsjön,6551428,578455,Södermanlands län,Katrineholm,WA16744634,Älgsjön,SE655275-153234,6551428,578455,,2.5,6.85,D,0.35862235
78,254852,629570-135470,Rammsjön,6292542,403889,Kronobergs län,Ljungby,WA87259643,Rammsjön,SE629570-135470,6292542,403889,,,,D,0.34031041
79,255748,638665-129243,Lilla Öresjön,6382547,340666,Västra Götalands län,Mark,WA89539111,Lilla Öresjön,SE638665-129243,6382547,340666,,4.1,17.2,D,0.6384305
80,261243,659105-133982,Överudssjön,6587380,385573,Värmlands län,Grums,WA62848185,Överudssjön,SE659105-133982,6587380,385573,1GLB,2.7,7.5,C,2.23909952
81,261111,656206-159170,N. Yngern,6561452,637680,Stockholms län,Nykvarn,WA84246238,N. Yngern,SE656206-159170,6561452,637680,1MLK,8.4,27.7,B,14.0310668
82,261115,655587-158869,Stora Envättern,6555227,634745,Stockholms län,Södertälje,WA98720344,Stora Envättern,SE655587-158869,6555227,634745,1MLB,5.2,11.1,D,0.3805785
83,261833,632515-146675,Hjärtsjön,6323148,515611,Kronobergs län,Uppvidinge,WA78510341,Hjärtsjön,SE632515-146675,6323148,515611,1MLK,3.4,6.5,C,1.28246541
84,255321,633025-142267,Fiolen,6327724,471494,Kronobergs län,Alvesta,WA60899891,Fiolen,SE633025-142267,6327724,471494,1MLK,3.9,10,C,1.54669539
85,256003,633738-142203,Stora Skärsjön,6334843,470770,Kronobergs län,Växjö,WA54145176,Stora Skärsjön,SE633738-142203,6334843,470770,,4,14,D,0.27669928
86,261837,631360-146750,Storasjö,6311612,516497,Kronobergs län,Uppvidinge,WA93641753,Storasjö,SE631360-146750,6311612,516497,1GLB,,,D,0.35272661
87,263102,661521-130182,Ulvsjön,6611064,347304,Värmlands län,Eda,WA22379738,Ulvsjön,SE661521-130182,6611064,347304,,9.2,27,D,0.55002354
