Date,"Total
vattenföring
[m³/s]","Total
stationskorrigerad
vattenföring
[m³/s]","Total
naturlig
vattenföring
[m³/s]","Lokal
vattenföring
[m³/s]","Vattendragstemperatur
[°C]",7-day Avg Total Vattenföring,30-day Avg Total Vattenföring,7-day Avg Lokal Vattenföring,30-day Avg Lokal Vattenföring,MD-MVM Id,Temp 1w avg,Temp 2w avg,Temp 4w avg,Temp 12w avg,Temp 52w avg,Precip 1w avg,Precip 2w avg,Precip 4w avg,Precip 12w avg,Precip 52w avg
2010-01-01,0.035,0.035,0.035,0.015,0,,,,,54,,,,,,,,,,
2010-01-02,0.034,0.034,0.034,0.014,0,,,,,54,,,,,,,,,,
2010-01-03,0.032,0.032,0.032,0.014,0,,,,,54,,,,,,,,,,
2010-01-04,0.031,0.031,0.031,0.013,0,,,,,54,,,,,,,,,,
2010-01-05,0.03,0.03,0.03,0.013,0,,,,,54,,,,,,,,,,
2010-01-06,0.028,0.028,0.028,0.012,0,,,,,54,,,,,,,,,,
2010-01-07,0.027,0.027,0.027,0.012,0,0.031,,0.01328571429,,54,,,,,,,,,,
2010-01-08,0.026,0.026,0.026,0.012,0,0.02971428571,,0.01285714286,,54,,,,,,,,,,
2010-01-09,0.025,0.025,0.025,0.011,0,0.02842857143,,0.01242857143,,54,,,,,,,,,,
2010-01-10,0.024,0.024,0.024,0.011,0,0.02728571429,,0.012,,54,,,,,,,,,,
2010-01-11,0.023,0.023,0.023,0.011,0,0.02614285714,,0.01171428571,,54,,,,,,,,,,
2010-01-12,0.023,0.023,0.023,0.01,0,0.02514285714,,0.01128571429,,54,,,,,,,,,,
2010-01-13,0.022,0.022,0.022,0.01,0,0.02428571429,,0.011,,54,,,,,,,,,,
2010-01-14,0.021,0.021,0.021,0.009,0,0.02342857143,,0.01057142857,,54,,,,,,,,,,
2010-01-15,0.02,0.02,0.02,0.009,0,0.02257142857,,0.01014285714,,54,,,,,,,,,,
2010-01-16,0.02,0.02,0.02,0.009,0,0.02185714286,,0.009857142857,,54,,,,,,,,,,
2010-01-17,0.019,0.019,0.019,0.009,0,0.02114285714,,0.009571428571,,54,,,,,,,,,,
2010-01-18,0.019,0.019,0.019,0.008,0,0.02057142857,,0.009142857143,,54,,,,,,,,,,
2010-01-19,0.018,0.018,0.018,0.008,0,0.01985714286,,0.008857142857,,54,,,,,,,,,,
2010-01-20,0.018,0.018,0.018,0.008,0,0.01928571429,,0.008571428571,,54,,,,,,,,,,
2010-01-21,0.017,0.017,0.017,0.008,0,0.01871428571,,0.008428571429,,54,,,,,,,,,,
2010-01-22,0.017,0.017,0.017,0.007,0,0.01828571429,,0.008142857143,,54,,,,,,,,,,
2010-01-23,0.016,0.016,0.016,0.007,0,0.01771428571,,0.007857142857,,54,,,,,,,,,,
2010-01-24,0.016,0.016,0.016,0.007,0,0.01728571429,,0.007571428571,,54,,,,,,,,,,
2010-01-25,0.015,0.015,0.015,0.007,0,0.01671428571,,0.007428571429,,54,,,,,,,,,,
2010-01-26,0.015,0.015,0.015,0.006,0,0.01628571429,,0.007142857143,,54,,,,,,,,,,
2010-01-27,0.016,0.016,0.016,0.006,0,0.016,,0.006857142857,,54,,,,,,,,,,
2010-01-28,0.016,0.016,0.016,0.006,0,0.01585714286,,0.006571428571,,54,,,,,,,,,,
2010-01-29,0.016,0.016,0.016,0.006,0,0.01571428571,,0.006428571429,,54,,,,,,,,,,
2010-01-30,0.015,0.015,0.015,0.006,0,0.01557142857,0.0218,0.006285714286,0.009466666667,54,,,,,,,,,,
2010-01-31,0.015,0.015,0.015,0.005,0,0.01542857143,0.02113333333,0.006,0.009133333333,54,,,,,,,,,,
2010-02-01,0.015,0.015,0.015,0.005,0,0.01542857143,0.0205,0.005714285714,0.008833333333,54,,,,,,,,,,
2010-02-02,0.015,0.015,0.015,0.005,0,0.01542857143,0.01993333333,0.005571428571,0.008533333333,54,,,,,,,,,,
2010-02-03,0.015,0.015,0.015,0.005,0,0.01528571429,0.0194,0.005428571429,0.008266666667,54,,,,,,,,,,
2010-02-04,0.016,0.016,0.016,0.005,0,0.01528571429,0.01893333333,0.005285714286,0.008,54,,,,,,,,,,
2010-02-05,0.016,0.016,0.016,0.005,0,0.01528571429,0.01853333333,0.005142857143,0.007766666667,54,,,,,,,,,,
2010-02-06,0.015,0.015,0.015,0.005,0,0.01528571429,0.01813333333,0.005,0.007533333333,54,,,,,,,,,,
2010-02-07,0.015,0.015,0.015,0.004,0,0.01528571429,0.01776666667,0.004857142857,0.007266666667,54,,,,,,,,,,
2010-02-08,0.014,0.014,0.014,0.004,0,0.01514285714,0.0174,0.004714285714,0.007033333333,54,,,,,,,,,,
2010-02-09,0.014,0.014,0.014,0.004,0,0.015,0.01706666667,0.004571428571,0.0068,54,,,,,,,,,,
2010-02-10,0.014,0.014,0.014,0.004,0,0.01485714286,0.01676666667,0.004428571429,0.006566666667,54,,,,,,,,,,
2010-02-11,0.013,0.013,0.013,0.004,0,0.01442857143,0.01643333333,0.004285714286,0.006366666667,54,,,,,,,,,,
2010-02-12,0.013,0.013,0.013,0.004,0,0.014,0.01613333333,0.004142857143,0.006166666667,54,,,,,,,,,,
2010-02-13,0.012,0.012,0.012,0.004,0,0.01357142857,0.01583333333,0.004,0.006,54,,,,,,,,,,
2010-02-14,0.012,0.012,0.012,0.004,0,0.01314285714,0.01556666667,0.004,0.005833333333,54,,,,,,,,,,
2010-02-15,0.012,0.012,0.012,0.003,0,0.01285714286,0.0153,0.003857142857,0.005633333333,54,,,,,,,,,,
2010-02-16,0.012,0.012,0.012,0.003,0,0.01257142857,0.01506666667,0.003714285714,0.005433333333,54,,,,,,,,,,
2010-02-17,0.012,0.012,0.012,0.003,0,0.01228571429,0.01483333333,0.003571428571,0.005266666667,54,,,,,,,,,,
2010-02-18,0.012,0.012,0.012,0.003,0,0.01214285714,0.01463333333,0.003428571429,0.0051,54,,,,,,,,,,
2010-02-19,0.012,0.012,0.012,0.003,0,0.012,0.01443333333,0.003285714286,0.004933333333,54,,,,,,,,,,
2010-02-20,0.013,0.013,0.013,0.003,0,0.01214285714,0.0143,0.003142857143,0.004766666667,54,,,,,,,,,,
2010-02-21,0.013,0.013,0.013,0.003,0,0.01228571429,0.01416666667,0.003,0.004633333333,54,,,,,,,,,,
2010-02-22,0.013,0.013,0.013,0.003,0,0.01242857143,0.01406666667,0.003,0.0045,54,,,,,,,,,,
2010-02-23,0.013,0.013,0.013,0.003,0,0.01257142857,0.01396666667,0.003,0.004366666667,54,,,,,,,,,,
2010-02-24,0.012,0.012,0.012,0.003,0,0.01257142857,0.01386666667,0.003,0.004233333333,54,,,,,,,,,,
2010-02-25,0.012,0.012,0.012,0.003,0,0.01257142857,0.01376666667,0.003,0.004133333333,54,,,,,,,,,,
2010-02-26,0.013,0.013,0.013,0.003,0,0.01271428571,0.01366666667,0.003,0.004033333333,54,,,,,,,,,,
2010-02-27,0.013,0.013,0.013,0.003,0,0.01271428571,0.01356666667,0.003,0.003933333333,54,,,,,,,,,,
2010-02-28,0.013,0.013,0.013,0.003,0,0.01271428571,0.01346666667,0.003,0.003833333333,54,,,,,,,,,,
2010-03-01,0.014,0.014,0.014,0.003,0,0.01285714286,0.01343333333,0.003,0.003733333333,54,,,,,,,,,,
2010-03-02,0.014,0.014,0.014,0.003,0,0.013,0.0134,0.003,0.003666666667,54,,,,,,,,,,
2010-03-03,0.013,0.013,0.013,0.003,0,0.01314285714,0.01333333333,0.003,0.0036,54,,,,,,,,,,
2010-03-04,0.013,0.013,0.013,0.003,0,0.01328571429,0.01326666667,0.003,0.003533333333,54,,,,,,,,,,
2010-03-05,0.012,0.012,0.012,0.003,0,0.01314285714,0.01316666667,0.003,0.003466666667,54,,,,,,,,,,
2010-03-06,0.012,0.012,0.012,0.003,0,0.013,0.01303333333,0.003,0.0034,54,,,,,,,,,,
2010-03-07,0.011,0.011,0.011,0.003,0,0.01271428571,0.01286666667,0.003,0.003333333333,54,,,,,,,,,,
2010-03-08,0.011,0.011,0.011,0.003,0,0.01228571429,0.01273333333,0.003,0.003266666667,54,,,,,,,,,,
2010-03-09,0.01,0.01,0.01,0.003,0,0.01171428571,0.01256666667,0.003,0.003233333333,54,,,,,,,,,,
2010-03-10,0.01,0.01,0.01,0.003,0,0.01128571429,0.01243333333,0.003,0.0032,54,,,,,,,,,,
2010-03-11,0.01,0.01,0.01,0.006,0,0.01085714286,0.0123,0.003428571429,0.003266666667,54,-3.928571429,-4.392857143,-8.071428571,-9.70952381,4.753021978,,,,,
2010-03-12,0.01,0.01,0.01,0.01,0,0.01057142857,0.01216666667,0.004428571429,0.003466666667,54,,,,,,,,,,
2010-03-13,0.01,0.01,0.01,0.009,0,0.01028571429,0.01206666667,0.005285714286,0.003633333333,54,,,,,,,,,,
2010-03-14,0.01,0.01,0.01,0.009,0,0.01014285714,0.01196666667,0.006142857143,0.0038,54,,,,,,,,,,
2010-03-15,0.01,0.01,0.01,0.009,0,0.01,0.0119,0.007,0.003966666667,54,,,,,,,,,,
2010-03-16,0.01,0.01,0.01,0.008,0,0.01,0.01183333333,0.007714285714,0.0041,54,,,,,,,,,,
2010-03-17,0.01,0.01,0.01,0.008,0,0.01,0.01176666667,0.008428571429,0.004266666667,54,,,,,,,,,,
2010-03-18,0.01,0.01,0.01,0.008,0,0.01,0.0117,0.008714285714,0.004433333333,54,,,,,,,,,,
